DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.8864,11.2539,10.1959,10.0946,9.42652,9.50009,10.6129,10.7397,8.32929,8.96071
10.5119,11.0179,10.6226,10.8146,10.5355,9.62114,10.1229,10.3571,8.30631,8.09011
9.93538,9.89915,9.73946,9.71457,10.1614,10.1239,10.7407,10.5812,9.28841,9.81576
9.46547,9.76615,9.98163,9.91167,9.9405,9.83498,9.85698,9.8303,10.9135,10.4988
9.77303,10.3261,9.93705,9.49871,9.76646,9.81029,9.89661,10.744,9.59956,10.6482
9.59396,10.3265,10.267,9.3924,9.72927,10.1396,9.68677,10.2869,10.2585,10.3191
9.03501,8.95396,9.54972,9.67021,10.1709,10.4214,10.1719,10.5858,10.5788,10.8622
10.4766,10.5125,9.50484,9.99306,10.3636,9.7844,10.0267,9.91861,10.0057,9.41405
9.80094,9.76014,10.2904,9.86718,10.2516,9.90246,9.8464,10.0239,10.2175,10.0396
9.49337,9.12963,10.7609,9.52156,10.3708,9.88288,10.0286,10.7029,10.2375,9.87191
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.4459,10.6171,10.3651,10.4615,10.3801,10.0246,8.59811,8.85397,10.0788,10.1748
9.52993,9.26682,10.0624,9.80715,9.57254,10.0654,9.89159,10.4646,10.3907,10.9488
10.447,9.70513,10.6174,10.2745,10.7247,11.1198,9.10002,8.2607,10.3056,9.44508
10.6306,9.4264,9.75082,9.94137,11.2163,10.5912,9.20051,9.25996,10.2093,9.77362
11.1805,10.0671,10.3566,10.719,9.5842,9.88985,10.6477,9.81875,9.28321,8.45312
9.2649,9.08245,10.0659,9.42337,11.1277,10.8898,9.81733,10.0181,10.0712,10.2392
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.2417,9.30501,9.8715,9.75601,10.808,10.8173,9.89671,10.0177,10.1874,10.0987
9.30704,10.0597,10.2145,9.8315,9.47924,9.3889,9.9913,10.8143,9.6102,11.3032
9.88649,10.2244,10.4719,9.56649,9.28385,9.11255,10.6418,10.8592,10.557,9.39635
9.00523,9.04776,9.35371,8.77802,9.89081,10.7168,10.5126,11.6779,10.5355,10.4816
10.0258,10.5121,9.08253,9.53382,10.5624,10.0816,11.0895,10.8356,9.36629,8.91033
9.08142,9.56601,10.2137,9.66951,9.95541,9.59783,10.7667,11.333,10.0439,9.77247
11.2438,11.2661,8.29107,8.48205,11.027,9.15566,12.2729,11.2509,9.11894,7.8915
10.5115,11.1813,9.58861,9.53822,10.1925,10.6048,11.1183,10.1569,8.42056,8.68736
9.45848,9.60511,10.0834,10.0987,9.45867,9.5039,10.3996,10.3877,10.7887,10.2159
9.97118,10.2542,9.69897,9.69133,9.8694,9.30527,9.88507,10.7864,10.5506,9.98758
9.91249,9.24462,10.1494,9.96382,9.75615,10.8665,8.86738,9.65158,10.8492,10.7388
9.80609,9.70012,9.31279,9.06161,9.60566,9.75312,10.1143,10.3119,11.2207,11.1137
9.96743,10.6941,10.2862,9.8553,9.78976,9.76717,9.5317,10.4906,9.9352,9.68245
8.93992,9.38208,9.2356,9.40421,10.3481,9.77928,11.3631,12.0392,9.99698,9.51158
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.50901,10.1049,10.8807,11.762,9.96123,10.5054,9.76617,10.8839,8.5738,9.05279
9.62474,9.71145,10.1737,9.61186,9.77577,10.1122,10.765,11.0517,9.85144,9.32217
10.4476,10.4419,9.84642,9.59415,9.19938,10.0852,9.91663,10.7913,10.1518,9.52571
10.2754,10.1789,10.2095,9.71077,9.56312,9.66907,10.073,9.92469,10.2157,10.1798
9.59659,9.9066,9.87358,9.87105,9.86181,9.4516,9.83677,10.4565,10.502,10.6435
9.84521,10.0362,10.2985,10.5224,10.23,9.59093,10.3592,9.9222,9.47566,9.71961
9.50078,9.32366,9.65212,9.40639,9.68863,10.2972,11.5403,10.9978,9.47001,10.1231
10.0335,10.3192,9.95691,10.5107,9.79041,9.61815,10.5809,9.78377,9.62674,9.77979
10.1662,9.59409,9.72964,9.51591,10.6628,10.4432,11.0356,10.5045,9.28457,9.06349
9.08766,9.63624,12.1861,12.2748,11.2828,9.86682,7.32193,6.81343,10.7011,10.8291
9.42791,10.5657,9.03422,9.87718,9.18492,8.70858,12.2547,11.3066,9.47702,10.1632
9.1158,9.05569,10.7566,10.9663,9.83791,10.2908,10.8512,9.90256,9.25283,9.9703
8.84331,9.08911,9.4606,9.23264,10.2793,10.4714,10.1583,11.0772,10.7641,10.624
10.5479,10.3072,9.99456,10.1723,9.71086,10.3092,9.74012,9.27348,9.86211,10.0822
10.1541,9.80551,10.5681,10.6379,10.2162,9.55873,10.7828,10.7241,8.64977,8.90274
9.93934,10.7655,9.48538,10.9105,9.93498,9.81951,9.98359,10.8533,9.43605,8.87191
10.4801,9.87974,8.70132,10.9281,9.2181,8.97779,12.2856,11.5895,9.77121,8.1686
10.2496,11.0048,8.99914,8.90343,9.77184,9.35014,10.838,11.5072,10.1227,9.25305
10.2185,10.2199,10.181,10.1318,9.90847,10.2703,9.27416,9.18628,10.4051,10.2045
9.26,9.57492,10.2669,10.0801,9.74543,10.132,9.41081,9.44535,11.398,10.6865
10.1463,9.68687,10.1036,10.9073,10.0388,9.57435,11.8218,10.5506,8.73553,8.43496
8.89586,9.99648,9.2748,12.0097,10.3169,9.5419,11.8693,11.3331,7.82449,8.93755
9.89438,10.0429,10.4282,10.2622,10.1896,10.0679,9.16625,9.45853,10.1059,10.384
9.84364,10.7136,10.2308,10.0472,10.5844,11.1816,8.97938,8.96114,9.79809,9.66008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
